date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:45	41967/41967	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ae7-a3ef-58bb5e754f780-gzip%22	http://xpanthersolutions.com/html/neon/vertical/ui-kits-media.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/ui-kits-media.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:46	64505/64505	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ae8-fbf9-58bb5e754f780-gzip%22	http://xpanthersolutions.com/html/neon/vertical/ui-kits-modals.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/ui-kits-modals.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:46	42471/42471	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ae9-a5e7-58bb5e754f780-gzip%22	http://xpanthersolutions.com/html/neon/vertical/ui-kits-paginations.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/ui-kits-paginations.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:47	31623/31623	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aea-7b87-58bb5e754f780-gzip%22	http://xpanthersolutions.com/html/neon/vertical/ui-kits-popovers.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/ui-kits-popovers.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:47	42695/42695	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aeb-a6c7-58bb5e754f780-gzip%22	http://xpanthersolutions.com/html/neon/vertical/ui-kits-progressbars.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/ui-kits-progressbars.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:47	52993/52993	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aec-cf01-58bb5e754f780-gzip%22	http://xpanthersolutions.com/html/neon/vertical/ui-kits-tabs.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/ui-kits-tabs.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:48	30958/30958	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aed-78ee-58bb5e754f780-gzip%22	http://xpanthersolutions.com/html/neon/vertical/ui-kits-tooltips.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/ui-kits-tooltips.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:48	46243/46243	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aee-b4a3-58bb5e754f780-gzip%22	http://xpanthersolutions.com/html/neon/vertical/ui-kits-typography.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/ui-kits-typography.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:49	41635/41635	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aa9-a2a3-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/components-nestable.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/components-nestable.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:49	42159/42159	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aab-a4af-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/components-ratings.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/components-ratings.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:50	44849/44849	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aaa-af31-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/components-range-slider.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/components-range-slider.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:50	37999/37999	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aac-946f-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/components-switchery.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/components-switchery.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:51	32097/32097	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aad-7d61-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/components-treeview.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/components-treeview.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:51	83163/83163	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aae-144db-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/components-widgets.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/components-widgets.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:52	714107/714107	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ac4-ae57b-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/icon-material-design.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/icon-material-design.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:52	245919/245919	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ac2-3c09f-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/icon-font-awesome.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/icon-font-awesome.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:53	72280/72280	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ac5-11a58-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/icon-simple-line.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/icon-simple-line.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:53	107796/107796	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ac6-1a514-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/icon-themify.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/icon-themify.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:54	111974/111974	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ac7-1b566-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/icon-typicons.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/icon-typicons.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:54	193853/193853	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ac3-2f53d-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/icon-ionicons.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/icon-ionicons.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:55	76405/76405	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ac1-12a75-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/icon-dripicons.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/icon-dripicons.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:55	31633/31633	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ab2-7b91-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/events.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/events.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:56	77050/77050	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ab9-12cfa-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/form-inputs.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/form-inputs.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:56	49854/49854	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ab7-c2be-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/form-groups.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/form-groups.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:57	43847/43847	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aba-ab47-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/form-layouts.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/form-layouts.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:57	62304/62304	---M-Z	200	added ('OK')	text/html	etag:W/%222e01abe-f360-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/form-validations.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/form-validations.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:58	36119/36119	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ab5-8d17-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/form-editors.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/form-editors.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:58	30209/30209	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ab6-7601-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/form-file-uploads.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/form-file-uploads.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:59	35240/35240	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ab3-89a8-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/form-colorpickers.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/form-colorpickers.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:58:59	38286/38286	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ab4-958e-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/form-datepickers.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/form-datepickers.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:00	33295/33295	---M-Z	200	added ('OK')	text/html	etag:W/%222e01abb-820f-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/form-maxlength.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/form-maxlength.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:01	35227/35227	---M-Z	200	added ('OK')	text/html	etag:W/%222e01abd-899b-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/form-touchspin.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/form-touchspin.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:01	38017/38017	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ab8-9481-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/form-input-mask.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/form-input-mask.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:02	42146/42146	---M-Z	200	added ('OK')	text/html	etag:W/%222e01abc-a4a2-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/form-selects.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/form-selects.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:02	34580/34580	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ac0-8714-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/form-xeditable.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/form-xeditable.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:03	38957/38957	---M-Z	200	added ('OK')	text/html	etag:W/%222e01abf-982d-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/form-wizards.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/form-wizards.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:03	47997/47997	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ab0-bb7d-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/email-inbox.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/email-inbox.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:04	39079/39079	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ab1-98a7-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/email-open.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/email-open.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:04	36640/36640	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aaf-8f20-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/email-compose.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/email-compose.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:04	73853/73853	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aa2-1207d-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/chart-chartistjs.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/chart-chartistjs.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
